('kjwp', 'kjwp metv', '2', '502')
('cbs3', 'kyw', '3', '503')
('wacp', 'wacp', '4', '504')
('wpvi', 'wpvi', '6', '506')
('pcn', 'pa cable net', '9', None)
('nbc10', 'wcau', '10', '510')
('whyy', 'whyy', '12', '512')
('wtxf', 'wtxf', '13', '513')
('wuvp', 'wuvp univision 65', '14', '514')
('wfmz', 'wfmz', '15', '515')
('cwphila', 'wpsg', '16', '516')
('phl17', 'wphl', '17', '517')
('ion', 'ion', '18', None)
('wmcn', 'wmcn', '19', None)
('njtv', 'njtv', '23', '523')
('wtve', 'wtve', '25', None)
('wfpa', 'wfpa unimás 28', None, '26')
('wwsi', 'wwsi telemundo 62', '27', None)
('mind', 'mind', '35', None)
('wlvt', 'wlvt', '39', '539')
('wgtw', 'wgtw', '47', None)
('usa', 'usa network', '50', '550')
('tnt', 'turner network television', '51', '551')
('tbs', 'tbs superstation', '52', '552')
('fx', 'fx', '53', '553')
('spike', 'spike tv', '54', '554')
('wgna', 'wgn america', '68', None)
('espn', 'espn', '70', '570')
('espnews', 'espn news', '72', '572')
('espnu', 'espnu', '73', '573')
('espn2', 'espn2', '74', '574')
('secn', 'sec network', '75', '575')
('csn', 'nbc sports philadelphia', '76', '576')
('fs1', 'fox sports 1', '83', '583')
('fs2', 'fox sports 2', '84', '584')
('btn', 'big ten network', '85', '585')
('mlbn', 'mlb network', '86', '586')
('nhltv', 'nhl network us', '87', '587')
('nfl', 'the nfl network', '88', '588')
('nba tv', 'nba tv', '89', '589')
('nbcsn', 'nbc sports network', '90', '590')
('oly', 'olympic channel', '91', '591')
('tennis', 'tennis channel', '92', '592')
('golf', 'the golf channel', '93', '593')
('cbssn', 'cbs sports network', '94', '594')
('sny', 'sportsnet new york', '96', None)
('nesn', 'new england sports network', '97', None)
('nbcspa', 'nbc sports philadelphia plus', '99', '580')
('cnn', 'cable news network', '100', '600')
('hln', 'hln', '101', None)
('cnbc', 'consumer news and business channel', '102', '602')
('msnbc', 'msnbc', '103', '603')
('btv', 'bloomberg tv', '104', None)
('cnni', 'cable news network international', '105', None)
('cnbcwo', 'consumer news and business channel world', '106', None)
('bbc', 'bbc world news north america', '107', None)
('fusn', 'fusion', '108', None)
('cspan', 'cable satellite public affairs network', '109', None)
('cspan2', 'cable satellite public affairs network 2', '110', None)
('cspan3', 'cable satellite public affairs network 3', '111', None)
('blaze', 'the blaze tv', '112', None)
('newsm', 'newsmax', '115', None)
('oan', 'one america news network', '116', '616')
('fbn', 'fox business network', '117', '617')
('fnc', 'fox news channel', '118', '618')
('accwth', 'accuweather', '119', '619')
('dsc', 'the discovery channel', '120', '620')
('ngc', 'national geographic channel', '121', '621')
('sci', 'science', '122', '622')
('id', 'investigation discovery', '123', '623')
('ahc', 'american heroes channel', '125', None)
('milh', 'military history channel', '126', None)
('vice', 'viceland', '127', '697')
('hist', 'history', '128', '628')
('fyi', 'fyi', '129', '629')
('animal', 'animal planet', '130', '630')
('ngwild', 'natgeo wild', '132', '632')
('smith', 'smithsonian channel', '134', '634')
('tlc', 'the learning channel', '139', '639')
('life', 'lifetime television', '140', '640')
('lifemov', 'lifetime movies', '141', '641')
('lrw', 'lifetime real women', '142', None)
('oxygn', 'oxygen', '144', '644')
('own', 'the oprah winfrey network', '145', '645')
('we', 'womens entertainment network', '149', None)
